Few-Shot Setting,Model,Test Accuracy (%)
1-shot,alexnet,26.118067978533094
1-shot,vgg16,26.231907627256465
1-shot,vgg19,18.97869572288177
1-shot,resnet18,37.35566758822573
1-shot,resnet50,44.169783704667424
1-shot,resnet101,42.006830378923404
1-shot,densenet121,42.20198406244918
1-shot,densenet201,45.909904049438936
1-shot,mobilenet_v2,44.169783704667424
1-shot,googlenet,39.92519108798179
5-shot,alexnet,56.61083102943568
5-shot,vgg16,62.660595218734755
5-shot,vgg19,42.885021954789394
5-shot,resnet18,81.54171409985364
5-shot,resnet50,84.30639128313547
5-shot,resnet101,81.73686778337941
5-shot,densenet121,83.46072532119044
5-shot,densenet201,85.16832005204098
5-shot,mobilenet_v2,81.28150918848593
5-shot,googlenet,80.41958041958041
10-shot,alexnet,69.50723694909742
10-shot,vgg16,70.98715238250122
10-shot,vgg19,69.39339730037405
10-shot,resnet18,88.74613758334688
10-shot,resnet50,90.43746950723695
10-shot,resnet101,88.48593267197919
10-shot,densenet121,89.81948284273865
10-shot,densenet201,92.32395511465279
10-shot,mobilenet_v2,89.7869572288177
10-shot,googlenet,88.04683688404619
full-data,alexnet,67.40933485119531
full-data,vgg16,70.58058220848919
full-data,vgg19,63.57131240852171
full-data,resnet18,88.9900796877541
full-data,resnet50,87.18490811514067
full-data,resnet101,87.24995934298259
full-data,densenet121,90.1284761749878
full-data,densenet201,92.21011546592942
full-data,mobilenet_v2,89.70564319401528
full-data,googlenet,88.45340705805822
