Dataset Size,Model,Test Accuracy (%)
100%,alexnet,73.96324605626931
100%,vgg16,81.42787445113026
100%,vgg19,76.71166043259066
100%,resnet18,82.06212392258904
100%,resnet50,85.98146040006505
100%,resnet101,84.98942917547569
100%,densenet121,86.94096601073345
100%,densenet201,88.9900796877541
100%,shufflenet_v2_x1_0,8.60302488209465
100%,mobilenet_v2,86.1928768905513
100%,googlenet,81.9157586599447
50%,alexnet,59.88939492517892
50%,vgg16,66.10279765777489
50%,vgg19,66.33051398828887
50%,resnet18,63.305139882888746
50%,resnet50,71.76317501626545
50%,resnet101,69.22576447625244
50%,densenet121,70.42940793754066
50%,densenet201,73.51984385165908
50%,shufflenet_v2_x1_0,0.9759271307742355
50%,mobilenet_v2,73.91021470396878
50%,googlenet,63.20754716981132
25%,alexnet,43.72153545868575
25%,vgg16,48.601171112556926
25%,vgg19,45.803513337670786
25%,resnet18,42.02992843201041
25%,resnet50,49.31685100845804
25%,resnet101,46.06376057254392
25%,densenet121,48.275862068965516
25%,densenet201,47.16981132075472
25%,shufflenet_v2_x1_0,1.3012361743656473
25%,mobilenet_v2,49.251789199739754
25%,googlenet,37.34547820429408
10%,alexnet,24.267100977198698
10%,vgg16,26.710097719869708
10%,vgg19,27.52442996742671
10%,resnet18,16.938110749185668
10%,resnet50,27.52442996742671
10%,resnet101,24.7557003257329
10%,densenet121,27.36156351791531
10%,densenet201,22.149837133550488
10%,shufflenet_v2_x1_0,0.9771986970684039
10%,mobilenet_v2,19.055374592833875
10%,googlenet,2.9315960912052117
